Class_Style_Color_Size	AEO_DC_From_LOC	AEO_DC_To_LOC	Allocate_Date	Ship_Date	Arrive_Date	BULK_OH_Class_Style_Color_Size_DC	BULK_OH_Class_Style_Color_Size_Alloc	Class_Style_Color_Size		QTY	0	0	Alloc	1	N		DEPLOYMENT	0	Manual Import	0000000000	FloorSet	Current_Time_Stamp
"119_5339_1_3234"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_119_5339_1_3234_DC2959"	"BULK_OH_119_5339_1_3234_DC2959_ALC16723"	"119_5339_1_3234"	""	"11"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.58"
"2698_3081_100_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2698_3081_100_3000_DC2959"	"BULK_OH_2698_3081_100_3000_DC2959_ALC16723"	"2698_3081_100_3000"	""	"24"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.59"
"491_5089_73_1623"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_491_5089_73_1623_DC2959"	"BULK_OH_491_5089_73_1623_DC2959_ALC16723"	"491_5089_73_1623"	""	"18"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.59"
"753_2860_73_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_2860_73_3000_DC2959"	"BULK_OH_753_2860_73_3000_DC2959_ALC16723"	"753_2860_73_3000"	""	"14"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.59"
"753_2860_73_5000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_2860_73_5000_DC2959"	"BULK_OH_753_2860_73_5000_DC2959_ALC16723"	"753_2860_73_5000"	""	"6"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.00"
"220_973_800_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_220_973_800_2000_DC2959"	"BULK_OH_220_973_800_2000_DC2959_ALC16723"	"220_973_800_2000"	""	"45"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.00"
"220_973_800_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_220_973_800_3000_DC2959"	"BULK_OH_220_973_800_3000_DC2959_ALC16723"	"220_973_800_3000"	""	"62"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.00"
"220_973_800_4000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_220_973_800_4000_DC2959"	"BULK_OH_220_973_800_4000_DC2959_ALC16723"	"220_973_800_4000"	""	"72"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.00"
"327_4425_16_8006"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_327_4425_16_8006_DC2959"	"BULK_OH_327_4425_16_8006_DC2959_ALC16723"	"327_4425_16_8006"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.01"
"233_2801_425_5000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_233_2801_425_5000_DC2959"	"BULK_OH_233_2801_425_5000_DC2959_ALC16723"	"233_2801_425_5000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.01"
