"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,69,2694,3249,410,2000,5,"2023-11-20.20.26.18"
2959,6900,69,2694,3249,410,3000,5,"2023-11-20.20.26.18"
2959,6900,69,2694,3249,368,4000,6,"2023-11-20.20.26.18"
2959,6900,34,534,9657,200,1000,5,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,2,38,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,4,47,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,6,45,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,8,38,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,10,32,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,12,25,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,14,18,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,101,29,"2023-11-20.20.26.18"
2959,6900,33,338,6967,471,201,21,"2023-11-20.20.26.18"
2959,6900,33,338,6982,53,18,7,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,2,54,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,4,56,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,6,50,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,8,43,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,10,34,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,12,34,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,14,26,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,16,17,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,101,45,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,201,32,"2023-11-20.20.26.18"
2959,6900,33,1333,7011,857,301,21,"2023-11-20.20.26.18"
2959,6900,33,1333,7020,101,2,8,"2023-11-20.20.26.18"
2959,6900,33,1333,7020,101,6,7,"2023-11-20.20.26.18"
2959,6900,33,1333,7020,101,8,6,"2023-11-20.20.26.18"
2959,6900,33,1333,7020,101,101,6,"2023-11-20.20.26.18"
2959,6900,38,381,3208,936,1000,13,"2023-11-20.20.26.18"
2959,6900,38,381,3208,936,3000,25,"2023-11-20.20.26.18"
2959,6900,38,381,3208,936,4000,18,"2023-11-20.20.26.18"
2959,6900,38,381,3218,914,2000,10,"2023-11-20.20.26.18"
2959,6900,38,381,3218,914,3000,16,"2023-11-20.20.26.18"
2959,6900,17,181,5618,976,5000,6,"2023-11-20.20.26.18"
2959,6900,17,181,5618,410,3000,17,"2023-11-20.20.26.18"
2959,6900,17,181,5618,410,4000,15,"2023-11-20.20.26.18"
2959,6900,17,181,5618,410,6000,6,"2023-11-20.20.26.18"
2959,6900,17,181,5618,101,1000,5,"2023-11-20.20.26.18"
2959,6900,17,181,5618,101,3000,9,"2023-11-20.20.26.18"
2959,6900,17,181,5618,1,1000,6,"2023-11-20.20.26.18"
2959,6900,17,181,5618,1,3000,10,"2023-11-20.20.26.18"
2959,6900,17,181,5618,1,6000,5,"2023-11-20.20.26.18"
2959,6900,31,312,4318,300,2000,5,"2023-11-20.20.26.18"
2959,6900,31,312,4329,900,1000,5,"2023-11-20.20.26.18"
