Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""113_5471_896_3330""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_113_5471_896_3330_DC2959""","""BULK_OH_113_5471_896_3330_DC2959_ALC16717""","""113_5471_896_3330""","""""","""9""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.10"""
"""491_5089_215_1601""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_491_5089_215_1601_DC2959""","""BULK_OH_491_5089_215_1601_DC2959_ALC16717""","""491_5089_215_1601""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.11"""
"""491_5089_425_1611""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_491_5089_425_1611_DC2959""","""BULK_OH_491_5089_425_1611_DC2959_ALC16717""","""491_5089_425_1611""","""""","""25""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.11"""
"""1436_2762_524_8101""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1436_2762_524_8101_DC2959""","""BULK_OH_1436_2762_524_8101_DC2959_ALC16717""","""1436_2762_524_8101""","""""","""101""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.11"""
"""1436_2762_524_9006""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1436_2762_524_9006_DC2959""","""BULK_OH_1436_2762_524_9006_DC2959_ALC16717""","""1436_2762_524_9006""","""""","""12""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.12"""
"""1436_2762_524_9014""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1436_2762_524_9014_DC2959""","""BULK_OH_1436_2762_524_9014_DC2959_ALC16717""","""1436_2762_524_9014""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.12"""
"""119_5339_1_2932""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_119_5339_1_2932_DC2959""","""BULK_OH_119_5339_1_2932_DC2959_ALC16717""","""119_5339_1_2932""","""""","""24""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.12"""
"""117_5356_81_3432""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_117_5356_81_3432_DC2959""","""BULK_OH_117_5356_81_3432_DC2959_ALC16717""","""117_5356_81_3432""","""""","""20""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.13"""
"""447_5078_65_1605""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_447_5078_65_1605_DC2959""","""BULK_OH_447_5078_65_1605_DC2959_ALC16717""","""447_5078_65_1605""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.13"""
"""117_5356_81_2828""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_117_5356_81_2828_DC2959""","""BULK_OH_117_5356_81_2828_DC2959_ALC16717""","""117_5356_81_2828""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.13"""
"""117_5356_81_2932""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_117_5356_81_2932_DC2959""","""BULK_OH_117_5356_81_2932_DC2959_ALC16717""","""117_5356_81_2932""","""""","""15""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.14"""
